open_time;close;status;close_shift_1;diff_shift_1;close_shift_2;diff_shift_2;close_shift_3;diff_shift_3;close_shift_4;diff_shift_4;close_shift_5;diff_shift_5;close_shift_6;diff_shift_6
2017-08-17 04:00:00;4308.83;SOBE_2.0;4315.32;0.15;4324.35;0.36;4349.99;0.96;4360.69;1.2;4444.0;3.14;4460.0;3.51
2017-08-17 05:00:00;4315.32;SOBE_2.0;4324.35;0.21;4349.99;0.8;4360.69;1.05;4444.0;2.98;4460.0;3.35;4427.3;2.59
2017-08-17 06:00:00;4324.35;SOBE_2.0;4349.99;0.59;4360.69;0.84;4444.0;2.77;4460.0;3.14;4427.3;2.38;4411.0;2.0
2017-08-17 07:00:00;4349.99;SOBE_2.0;4360.69;0.25;4444.0;2.16;4460.0;2.53;4427.3;1.78;4411.0;1.4;4459.0;2.51
2017-08-17 08:00:00;4360.69;SOBE_2.0;4444.0;1.91;4460.0;2.28;4427.3;1.53;4411.0;1.15;4459.0;2.25;4470.82;2.53
2017-08-17 09:00:00;4444.0;CAI_2.0;4460.0;0.36;4427.3;-0.38;4411.0;-0.74;4459.0;0.34;4470.82;0.6;4352.34;-2.06
2017-08-17 10:00:00;4460.0;CAI_2.0;4427.3;-0.73;4411.0;-1.1;4459.0;-0.02;4470.82;0.24;4352.34;-2.41;4354.18;-2.37
2017-08-17 11:00:00;4427.3;CAI_2.0;4411.0;-0.37;4459.0;0.72;4470.82;0.98;4352.34;-1.69;4354.18;-1.65;4289.24;-3.12
2017-08-17 12:00:00;4411.0;CAI_2.0;4459.0;1.09;4470.82;1.36;4352.34;-1.33;4354.18;-1.29;4289.24;-2.76;4256.97;-3.49
2017-08-17 13:00:00;4459.0;CAI_2.0;4470.82;0.27;4352.34;-2.39;4354.18;-2.35;4289.24;-3.81;4256.97;-4.53;4325.23;-3.0
2017-08-17 14:00:00;4470.82;CAI_2.0;4352.34;-2.65;4354.18;-2.61;4289.24;-4.06;4256.97;-4.78;4325.23;-3.26;4346.74;-2.78
2017-08-17 15:00:00;4352.34;CAI_2.0;4354.18;0.04;4289.24;-1.45;4256.97;-2.19;4325.23;-0.62;4346.74;-0.13;4333.55;-0.43
2017-08-17 16:00:00;4354.18;CAI_2.0;4289.24;-1.49;4256.97;-2.23;4325.23;-0.66;4346.74;-0.17;4333.55;-0.47;4336.8;-0.4
2017-08-17 18:00:00;4256.97;SOBE_2.0;4325.23;1.6;4346.74;2.11;4333.55;1.8;4336.8;1.88;4285.08;0.66;4286.53;0.69
2017-08-17 20:00:00;4346.74;CAI_2.0;4333.55;-0.3;4336.8;-0.23;4285.08;-1.42;4286.53;-1.39;4243.59;-2.37;4267.59;-1.82
2017-08-17 21:00:00;4333.55;CAI_2.0;4336.8;0.07;4285.08;-1.12;4286.53;-1.09;4243.59;-2.08;4267.59;-1.52;4292.39;-0.95
2017-08-17 22:00:00;4336.8;CAI_2.0;4285.08;-1.19;4286.53;-1.16;4243.59;-2.15;4267.59;-1.6;4292.39;-1.02;4287.92;-1.13
2017-08-18 10:00:00;4356.31;CAI_2.0;4340.31;-0.37;4331.71;-0.56;4293.09;-1.45;4259.4;-2.22;4236.89;-2.74;4250.34;-2.43
2017-08-18 11:00:00;4340.31;CAI_2.0;4331.71;-0.2;4293.09;-1.09;4259.4;-1.86;4236.89;-2.38;4250.34;-2.07;4193.35;-3.39
2017-08-18 12:00:00;4331.71;CAI_2.0;4293.09;-0.89;4259.4;-1.67;4236.89;-2.19;4250.34;-1.88;4193.35;-3.19;4117.41;-4.95
2017-08-18 13:00:00;4293.09;CAI_2.0;4259.4;-0.78;4236.89;-1.31;4250.34;-1.0;4193.35;-2.32;4117.41;-4.09;4136.28;-3.65
2017-08-18 14:00:00;4259.4;CAI_2.0;4236.89;-0.53;4250.34;-0.21;4193.35;-1.55;4117.41;-3.33;4136.28;-2.89;4021.11;-5.59
2017-08-18 15:00:00;4236.89;CAI_2.0;4250.34;0.32;4193.35;-1.03;4117.41;-2.82;4136.28;-2.37;4021.11;-5.09;3975.69;-6.16
2017-08-18 16:00:00;4250.34;CAI_2.0;4193.35;-1.34;4117.41;-3.13;4136.28;-2.68;4021.11;-5.39;3975.69;-6.46;4113.75;-3.21
2017-08-18 17:00:00;4193.35;CAI_2.0;4117.41;-1.81;4136.28;-1.36;4021.11;-4.11;3975.69;-5.19;4113.75;-1.9;4108.37;-2.03
2017-08-18 18:00:00;4117.41;CAI_2.0;4136.28;0.46;4021.11;-2.34;3975.69;-3.44;4113.75;-0.09;4108.37;-0.22;4163.49;1.12
2017-08-18 19:00:00;4136.28;CAI_2.0;4021.11;-2.78;3975.69;-3.88;4113.75;-0.54;4108.37;-0.67;4163.49;0.66;4148.53;0.3
2017-08-18 20:00:00;4021.11;SOBE_2.0;3975.69;-1.13;4113.75;2.3;4108.37;2.17;4163.49;3.54;4148.53;3.17;4156.39;3.36
