symbol,interval,estimator,train_size,start_train_date,start_test_date,numeric_features,stop_loss,regression_times,regression_features,times_regression_profit_and_loss,calc_rsi,compare_models,n_jobs,use_gpu,verbose,normalize,fold,use_all_data_to_train,arguments,no_tune,save_model
ETHUSDT,1m,knn,0.7,2023-08-01,2023-09-05,close,1.0,0,,30,True,False,20,False,False,True,3,False,"['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume', '-regression-PnL-list=30,60', '-regression-times-list=0', '-start-train-date=2023-08-01', '-start-test-date=2023-09-05']",True,False
ETHUSDT,1m,knn,0.7,2023-08-01,2023-09-05,"close,volume",1.0,0,,30,True,False,20,False,False,True,3,False,"['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume', '-regression-PnL-list=30,60', '-regression-times-list=0', '-start-train-date=2023-08-01', '-start-test-date=2023-09-05']",True,False
ETHUSDT,1m,knn,0.7,2023-08-01,2023-09-05,"close,rsi",1.0,0,,30,True,False,20,False,False,True,3,False,"['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume', '-regression-PnL-list=30,60', '-regression-times-list=0', '-start-train-date=2023-08-01', '-start-test-date=2023-09-05']",True,False
ETHUSDT,1m,knn,0.7,2023-08-01,2023-09-05,"close,volume,rsi",1.0,0,,30,True,False,20,False,False,True,3,False,"['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume', '-regression-PnL-list=30,60', '-regression-times-list=0', '-start-train-date=2023-08-01', '-start-test-date=2023-09-05']",True,False
ETHUSDT,1m,knn,0.7,2023-08-01,2023-09-05,close,1.0,0,,60,True,False,20,False,False,True,3,False,"['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume', '-regression-PnL-list=30,60', '-regression-times-list=0', '-start-train-date=2023-08-01', '-start-test-date=2023-09-05']",True,False
ETHUSDT,1m,knn,0.7,2023-08-01,2023-09-05,"close,volume",1.0,0,,60,True,False,20,False,False,True,3,False,"['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume', '-regression-PnL-list=30,60', '-regression-times-list=0', '-start-train-date=2023-08-01', '-start-test-date=2023-09-05']",True,False
ETHUSDT,1m,knn,0.7,2023-08-01,2023-09-05,"close,rsi",1.0,0,,60,True,False,20,False,False,True,3,False,"['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume', '-regression-PnL-list=30,60', '-regression-times-list=0', '-start-train-date=2023-08-01', '-start-test-date=2023-09-05']",True,False
ETHUSDT,1m,knn,0.7,2023-08-01,2023-09-05,"close,volume,rsi",1.0,0,,60,True,False,20,False,False,True,3,False,"['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume', '-regression-PnL-list=30,60', '-regression-times-list=0', '-start-train-date=2023-08-01', '-start-test-date=2023-09-05']",True,False
BNBUSDT,1m,knn,0.7,2023-08-01,2023-09-05,close,1.0,0,,30,True,False,20,False,False,True,3,False,"['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume', '-regression-PnL-list=30,60', '-regression-times-list=0', '-start-train-date=2023-08-01', '-start-test-date=2023-09-05']",True,False
BNBUSDT,1m,knn,0.7,2023-08-01,2023-09-05,"close,volume",1.0,0,,30,True,False,20,False,False,True,3,False,"['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT', '-interval-list=1m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=volume', '-regression-PnL-list=30,60', '-regression-times-list=0', '-start-train-date=2023-08-01', '-start-test-date=2023-09-05']",True,False
