data;symbol;interval;estimator;stop_loss;regression_times;times_regression_profit_and_loss;profit_and_loss_value;start_value;final_value;numeric_features;regression_features;train_size;use-all-data-to-train;start_train_date;start_test_date;fold;no-tune;model_name;arguments;score
2023-09-22 18:04:43;BTCUSDT;1h;knn;1.5;0;24;0.0;0.0;0.0;close,volume;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:32;BTCUSDT;1h;knn;1.5;0;6;0.0;0.0;0.0;close,volume,rsi;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:54;BTCUSDT;1h;knn;2.0;0;12;0.0;0.0;0.0;close,volume;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:27;BTCUSDT;1h;knn;1.5;0;6;0.0;0.0;0.0;close,volume;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:39;BTCUSDT;1h;knn;1.5;0;12;0.0;0.0;0.0;close,rsi;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:55;BTCUSDT;1h;knn;2.0;0;12;0.0;0.0;0.0;close,rsi;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:53;BTCUSDT;1h;knn;2.0;0;12;0.0;0.0;0.0;close;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:37;BTCUSDT;1h;knn;1.5;0;12;0.0;0.0;0.0;close,volume;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:04:49;BTCUSDT;1h;knn;2.0;0;6;0.0;0.0;0.0;close,volume;;0.7;True;2010-01-01;;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-use-all-data-to-train'];
2023-09-22 18:24:46;BTCUSDT;1h;knn;1.5;0;24;0.0;0.0;0.0;close,volume;;0.7;True;2010-01-01;;3;True;BTCUSDT_knn_SL_1.5_RT_0_RPL_24_2;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];
2023-09-22 18:09:21;BTCUSDT;1h;knn;2.0;0;6;-22.07;100.0;77.93;close;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.10][ESTAVEL=0.80][SOBE_2.0=0.12]
2023-09-22 18:08:57;BTCUSDT;1h;knn;1.5;0;6;-19.15;100.0;80.85;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.12][ESTAVEL=0.75][SOBE_1.5=0.06]
2023-09-22 18:09:27;BTCUSDT;1h;knn;2.0;0;6;-15.51;100.0;84.49;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.05][ESTAVEL=0.85][SOBE_2.0=0.13]
2023-09-22 18:09:11;BTCUSDT;1h;knn;1.5;0;12;-10.9;100.0;89.1;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.28][ESTAVEL=0.44][SOBE_1.5=0.23]
2023-09-22 18:09:18;BTCUSDT;1h;knn;1.5;0;24;-9.4;100.0;90.6;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.48][ESTAVEL=0.12][SOBE_1.5=0.36]
2023-09-22 18:09:37;BTCUSDT;1h;knn;2.0;0;24;-8.96;100.0;91.04;close,volume;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.42][ESTAVEL=0.27][SOBE_2.0=0.36]
2023-09-22 18:09:28;BTCUSDT;1h;knn;2.0;0;12;-8.76;100.0;91.24;close;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.27][ESTAVEL=0.59][SOBE_2.0=0.18]
2023-09-22 18:09:13;BTCUSDT;1h;knn;1.5;0;12;-5.93;100.0;94.07;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.24][ESTAVEL=0.47][SOBE_1.5=0.25]
2023-09-22 18:09:02;BTCUSDT;1h;knn;1.5;0;6;-5.65;100.0;94.35;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.19][ESTAVEL=0.75][SOBE_1.5=0.14]
2023-09-22 18:09:14;BTCUSDT;1h;knn;1.5;0;24;-5.42;100.0;94.58;close;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.49][ESTAVEL=0.12][SOBE_1.5=0.36]
2023-09-22 18:08:59;BTCUSDT;1h;knn;1.5;0;6;-5.17;100.0;94.83;close,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_1.5=0.20][ESTAVEL=0.73][SOBE_1.5=0.09]
2023-09-22 18:09:34;BTCUSDT;1h;knn;2.0;0;12;-5.09;100.0;94.91;close,volume,rsi;;0.7;False;2010-01-01;2023-06-01 01:00:00;3;True;<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SHIBUSDT,ATOMUSDT,BCHUSDT', '-interval-list=1h', '-estimator-list=knn', '-stop-loss-list=1.5,2.0', '-numeric-features=close,volume,rsi', '-regression-PnL-list=6,12,24', '-regression-times-list=0', '-start-train-date=2010-01-01', '-start-test-date=2023-06-01'];[CAI_2.0=0.18][ESTAVEL=0.64][SOBE_2.0=0.19]
